STATION,DATE,AWND,PRCP,TAVG
USW00012916,1948-01,,145.4,7.7
USW00012916,1948-02,,50,14.5
USW00012916,1948-03,,485.1,18.1
USW00012916,1948-04,,37.8,22.2
USW00012916,1948-05,,44.2,24.8
USW00012916,1948-06,,32.6,28
USW00012916,1948-07,,114,28.3
USW00012916,1948-08,,147.3,27.6
USW00012916,1948-09,,343.7,24.3
USW00012916,1948-10,,27.2,20.4
USW00012916,1948-11,,348.6,17.1
USW00012916,1948-12,,135,15.4
USW00012916,1949-01,,70.5,15.4
USW00012916,1949-02,,72.5,16.6
USW00012916,1949-03,,206.8,16.5
USW00012916,1949-04,,223.1,19.6
USW00012916,1949-05,,25.1,24.7
USW00012916,1949-06,,111,27.4
USW00012916,1949-07,,152.7,27.9
USW00012916,1949-08,,92.2,27.9
USW00012916,1949-09,,131.8,25.9
USW00012916,1949-10,,108.4,23.7
USW00012916,1949-11,,5.3,15
USW00012916,1949-12,,136.1,14.9
USW00012916,1950-01,,99.8,19.5
USW00012916,1950-02,,103.6,16
USW00012916,1950-03,,143.1,15.1
USW00012916,1950-04,,185.4,18.2
USW00012916,1950-05,,70.1,24.6
USW00012916,1950-06,,151.8,27.4
USW00012916,1950-07,,182.9,27
USW00012916,1950-08,,110.4,27.5
USW00012916,1950-09,,25,26.2
USW00012916,1950-10,,30,21.8
USW00012916,1950-11,,23.2,13.9
USW00012916,1950-12,,155.5,11.3
USW00012916,1951-01,,139.6,13.1
USW00012916,1951-02,,50.3,13.6
USW00012916,1951-03,,196.7,17
USW00012916,1951-04,,197.8,19.1
USW00012916,1951-05,,42.1,23.7
USW00012916,1951-06,,75.8,27.4
USW00012916,1951-07,,87.7,28.4
USW00012916,1951-08,,125.3,29.9
USW00012916,1951-09,,179,26.6
USW00012916,1951-10,,28.2,22.6
USW00012916,1951-11,,76.2,13.8
USW00012916,1951-12,,80.7,15.4
USW00012916,1952-01,,68.8,16.8
USW00012916,1952-02,,204.7,14.9
USW00012916,1952-03,,128.7,15.7
USW00012916,1952-04,,122.5,18.6
USW00012916,1952-05,,147.2,23.9
USW00012916,1952-06,,28.5,27.8
USW00012916,1952-07,,158.5,27.5
USW00012916,1952-08,,50.9,28
USW00012916,1952-09,,71.4,25.4
USW00012916,1952-10,,0,17.6
USW00012916,1952-11,,76.3,14.5
USW00012916,1952-12,,174.3,12.4
USW00012916,1953-01,,65,13.8
USW00012916,1953-02,,180.4,13.5
USW00012916,1953-03,,89.8,19.5
USW00012916,1953-04,,151.2,20.1
USW00012916,1953-05,,35.4,25.5
USW00012916,1953-06,,183.4,28.6
USW00012916,1953-07,,265.1,27.9
USW00012916,1953-08,,124,27.8
USW00012916,1953-09,,6,26.2
USW00012916,1953-10,,13,21.3
USW00012916,1953-11,,264,15.4
USW00012916,1953-12,,227.1,11.3
USW00012916,1954-01,,100.5,13
USW00012916,1954-02,,34,15.4
USW00012916,1954-03,,56.5,15.7
USW00012916,1954-04,,58.2,21.8
USW00012916,1954-05,,113.1,21.7
USW00012916,1954-06,,80.4,27.1
USW00012916,1954-07,,291.1,28
USW00012916,1954-08,,137.1,28.2
USW00012916,1954-09,,169.3,27.1
USW00012916,1954-10,,138.6,21.7
USW00012916,1954-11,,51.7,14.8
USW00012916,1954-12,,152.9,12.6
USW00012916,1955-01,,181.2,11.8
USW00012916,1955-02,,131.2,14.4
USW00012916,1955-03,,6.1,18.5
USW00012916,1955-04,,122.3,21.9
USW00012916,1955-05,,136.5,25.7
USW00012916,1955-06,,112.3,26
USW00012916,1955-07,,252.9,27.3
USW00012916,1955-08,,299,28.1
USW00012916,1955-09,,115.2,27
USW00012916,1955-10,,22.9,20.7
USW00012916,1955-11,,69.8,15.6
USW00012916,1955-12,,71.5,13
USW00012916,1956-01,,60.2,10.9
USW00012916,1956-02,,184.9,16.2
USW00012916,1956-03,,93.1,16.9
USW00012916,1956-04,,105.7,19.8
USW00012916,1956-05,,60.1,25.1
USW00012916,1956-06,,169.7,25.9
USW00012916,1956-07,,169,27.7
USW00012916,1956-08,,126.9,27.5
USW00012916,1956-09,,203.8,25.4
USW00012916,1956-10,,48.3,22.2
USW00012916,1956-11,,45.2,15.7
USW00012916,1956-12,,164.9,16.2
USW00012916,1957-01,,39.5,15.5
USW00012916,1957-02,,73.4,17.6
USW00012916,1957-03,,208,16.3
USW00012916,1957-04,,172.3,20.8
USW00012916,1957-05,,31.4,24.9
USW00012916,1957-06,,188.5,26.9
USW00012916,1957-07,,130,28.9
USW00012916,1957-08,,192.3,27.7
USW00012916,1957-09,,259.4,24.8
USW00012916,1957-10,,54.7,19.3
USW00012916,1957-11,,105.6,16.6
USW00012916,1957-12,,78.5,12.9
USW00012916,1958-01,,172.3,9.2
USW00012916,1958-02,,100.7,9.1
USW00012916,1958-03,,177.3,14.9
USW00012916,1958-04,,50.8,20.7
USW00012916,1958-05,,170.2,24.3
USW00012916,1958-06,,71.4,27.4
USW00012916,1958-07,,232,27.6
USW00012916,1958-08,,81.1,27.7
USW00012916,1958-09,,167,26.7
USW00012916,1958-10,,22.7,20.9
USW00012916,1958-11,,28.1,17.3
USW00012916,1958-12,,37.2,11.5
USW00012916,1959-01,,94.3,10.1
USW00012916,1959-02,,268.4,14
USW00012916,1959-03,,97.2,15.6
USW00012916,1959-04,,80.8,20
USW00012916,1959-05,,364.2,25.1
USW00012916,1959-06,,171.7,27.4
USW00012916,1959-07,,202.3,27.8
USW00012916,1959-08,,115.2,28.1
USW00012916,1959-09,,88.1,26.6
USW00012916,1959-10,,164,22.8
USW00012916,1959-11,,29,14.8
USW00012916,1959-12,,65.5,13.1
USW00012916,1960-01,,84.8,11
USW00012916,1960-02,,121.1,9.8
USW00012916,1960-03,,93.5,13.4
USW00012916,1960-04,,144.5,19.7
USW00012916,1960-05,,83.9,21.9
USW00012916,1960-06,,42.7,26.7
USW00012916,1960-07,,108.4,28.8
USW00012916,1960-08,,165.5,27.4
USW00012916,1960-09,,104.5,25.6
USW00012916,1960-10,,124.4,21.4
USW00012916,1960-11,,15.2,16.4
USW00012916,1960-12,,106,11.1
USW00012916,1961-01,,176.3,8.5
USW00012916,1961-02,,228.6,14.5
USW00012916,1961-03,,216.8,18.1
USW00012916,1961-04,,73.3,18.2
USW00012916,1961-05,,164.1,22.6
