"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-01","7.7","13.1","2.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-02","14.5","19.3","9.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-03","18.1","22.1","14.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-04","22.2","27.7","16.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-05","24.8","30.4","19.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-06","28.0","33.4","22.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-07","28.3","33.6","23.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-08","27.6","32.1","23.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-09","24.3","28.5","20.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-10","20.4","26.4","14.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-11","17.1","22.1","12.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1948-12","15.4","20.7","10.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-01","15.4","20.3","10.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-02","16.6","20.4","12.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-03","16.5","21.7","11.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-04","19.6","24.3","14.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-05","24.7","30.6","18.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-06","27.4","32.4","22.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-07","27.9","32.1","23.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-08","27.9","32.8","23.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-09","25.9","30.1","21.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-10","23.7","28.0","19.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-11","15.0","21.9","8.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1949-12","14.9","19.6","10.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-01","19.5","23.5","15.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-02","16.0","21.4","10.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-03","15.1","20.6","9.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-04","18.2","23.5","12.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-05","24.6","29.7","19.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-06","27.4","32.1","22.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-07","27.0","31.4","22.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-08","27.5","32.4","22.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-09","26.2","30.8","21.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-10","21.8","27.4","16.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-11","13.9","20.5","7.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1950-12","11.3","16.4","6.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-01","13.1","19.2","7.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-02","13.6","19.4","7.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-03","17.0","22.2","11.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-04","19.1","24.6","13.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-05","23.7","29.4","18.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-06","27.4","32.5","22.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-07","28.4","33.2","23.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-08","29.9","35.3","24.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-09","26.6","31.1","22.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-10","22.6","27.8","17.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-11","13.8","19.6","8.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1951-12","15.4","21.1","9.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-01","16.8","21.8","11.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-02","14.9","19.6","10.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-03","15.7","21.3","10.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-04","18.6","24.4","12.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-05","23.9","29.6","18.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-06","27.8","33.0","22.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-07","27.5","32.2","22.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-08","28.0","32.8","23.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-09","25.4","29.8","20.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-10","17.6","24.4","10.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-11","14.5","20.3","8.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1952-12","12.4","17.5","7.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-01","13.8","19.6","7.9"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-02","13.5","18.3","8.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-03","19.5","24.5","14.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-04","20.1","25.6","14.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-05","25.5","30.2","20.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-06","28.6","33.5","23.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-07","27.9","32.3","23.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-08","27.8","32.2","23.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-09","26.2","31.6","20.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-10","21.3","27.0","15.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-11","15.4","20.6","10.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1953-12","11.3","15.8","6.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-01","13.0","18.4","7.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-02","15.4","22.0","8.8"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-03","15.7","20.8","10.5"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-04","21.8","27.3","16.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-05","21.7","26.8","16.7"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-06","27.1","32.3","22.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-07","28.0","32.6","23.3"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-08","28.2","33.3","23.0"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-09","27.1","32.1","22.1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-10","21.7","26.8","16.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-11","14.8","20.4","9.2"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1954-12","12.6","18.5","6.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1955-01","11.8","16.9","6.6"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1955-02","14.4","19.4","9.4"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1955-03","18.5","24.3","12.8"
